number,chapter_title,title_eng,title,book_id
1,Purification - الطهارة,Purification,الطهارة,Sunan Abu Dawud
2,Prayer - الصلاة,Prayer,الصلاة,Sunan Abu Dawud
3,Rain Prayer - الاستسقاء,Rain Prayer,الاستسقاء,Sunan Abu Dawud
4,Journey Prayer - صلاة السفر,Journey Prayer,صلاة السفر,Sunan Abu Dawud
5,Voluntary Prayers - التطوع,Voluntary Prayers,التطوع,Sunan Abu Dawud
6,Ramadan - شهر رمضان,Ramadan,شهر رمضان,Sunan Abu Dawud
7,Prostration while reciting the Qur'an - سجود القرآن,Prostration while reciting the Qur'an,سجود القرآن,Sunan Abu Dawud
8,Witr Prayer - الوتر,Witr Prayer,الوتر,Sunan Abu Dawud
9,Zakat - الزكاة,Zakat,الزكاة,Sunan Abu Dawud
10,Lost and Found Items - اللقطة,Lost and Found Items,اللقطة,Sunan Abu Dawud
11,The Rites of Hajj - المناسك,The Rites of Hajj,المناسك,Sunan Abu Dawud
12,Marriage - النكاح,Marriage,النكاح,Sunan Abu Dawud
13,Divorce - الطلاق,Divorce,الطلاق,Sunan Abu Dawud
14,Fasting - الصوم,Fasting,الصوم,Sunan Abu Dawud
15,Jihad - الجهاد,Jihad,الجهاد,Sunan Abu Dawud
16,Sacrifice - الضحايا,Sacrifice,الضحايا,Sunan Abu Dawud
17,Game - الصيد,Game,الصيد,Sunan Abu Dawud
18,Wills - الوصايا,Wills,الوصايا,Sunan Abu Dawud
19,Shares of Inheritance - الفرائض,Shares of Inheritance,الفرائض,Sunan Abu Dawud
20,"Tribute, Spoils, and Rulership - الخراج والإمارة والفىء","Tribute, Spoils, and Rulership",الخراج والإمارة والفىء,Sunan Abu Dawud
21,Funerals - الجنائز,Funerals,الجنائز,Sunan Abu Dawud
22,Oaths and Vows - الأيمان والنذور,Oaths and Vows,الأيمان والنذور,Sunan Abu Dawud
23,Commercial Transactions - البيوع,Commercial Transactions,البيوع,Sunan Abu Dawud
24,Wages - الإجارة,Wages,الإجارة,Sunan Abu Dawud
25,The Office of the Judge - الأقضية,The Office of the Judge,الأقضية,Sunan Abu Dawud
26,Knowledge - العلم,Knowledge,العلم,Sunan Abu Dawud
27,Drinks - الأشربة,Drinks,الأشربة,Sunan Abu Dawud
28,Foods - الأطعمة,Foods,الأطعمة,Sunan Abu Dawud
29,Medicine - الطب,Medicine,الطب,Sunan Abu Dawud
30,Divination and Omens - الكهانة و التطير,Divination and Omens,الكهانة و التطير,Sunan Abu Dawud
31,Manumission of Slaves - العتق,Manumission of Slaves,العتق,Sunan Abu Dawud
32,Dialects and Readings of the Qur'an - الحروف والقراءات,Dialects and Readings of the Qur'an,الحروف والقراءات,Sunan Abu Dawud
33,Hot Baths - الحمَّام,Hot Baths,الحمَّام,Sunan Abu Dawud
34,Clothing - اللباس,Clothing,اللباس,Sunan Abu Dawud
35,Combing the Hair - الترجل,Combing the Hair,الترجل,Sunan Abu Dawud
36,Signet Rings - الخاتم,Signet Rings,الخاتم,Sunan Abu Dawud
37,Trials and Fierce Battles - الفتن والملاحم,Trials and Fierce Battles,الفتن والملاحم,Sunan Abu Dawud
38,The Promised Deliverer - المهدى,The Promised Deliverer,المهدى,Sunan Abu Dawud
39,Battles - الملاحم,Battles,الملاحم,Sunan Abu Dawud
40,Prescribed Punishments - الحدود,Prescribed Punishments,الحدود,Sunan Abu Dawud
41,Types of Blood-Wit - الديات,Types of Blood-Wit,الديات,Sunan Abu Dawud
42,Model Behavior of the Prophet - السنة,Model Behavior of the Prophet,السنة,Sunan Abu Dawud
43,General Behavior - الأدب,General Behavior,الأدب,Sunan Abu Dawud
