number,chapter_title,title_eng,title,book_id
1,Revelation - بدء الوحى,Revelation,بدء الوحى,Sahih al-Bukhari
2,Belief - الإيمان,Belief,الإيمان,Sahih al-Bukhari
3,Knowledge - العلم,Knowledge,العلم,Sahih al-Bukhari
4,Ablutions (Wudu) - الوضوء,Ablutions (Wudu),الوضوء,Sahih al-Bukhari
5,Bathing (Ghusl) - الغسل,Bathing (Ghusl),الغسل,Sahih al-Bukhari
6,Menstrual Periods - الحيض,Menstrual Periods,الحيض,Sahih al-Bukhari
7,Rubbing hands and feet with dust (Tayammum) - التيمم,Rubbing hands and feet with dust (Tayammum),التيمم,Sahih al-Bukhari
8,Prayers (Salat) - الصلاة,Prayers (Salat),الصلاة,Sahih al-Bukhari
9,Times of the Prayers - مواقيت الصلاة,Times of the Prayers,مواقيت الصلاة,Sahih al-Bukhari
10,Call  Prayers (Adhaan) - الأذان,Call  Prayers (Adhaan),الأذان,Sahih al-Bukhari
11,Friday Prayer - الجمعة,Friday Prayer,الجمعة,Sahih al-Bukhari
12,Fear Prayer - صلاة الخوف,Fear Prayer,صلاة الخوف,Sahih al-Bukhari
13,The Two Festivals (Eids) - العيدين,The Two Festivals (Eids),العيدين,Sahih al-Bukhari
14,Witr Prayer - الوتر,Witr Prayer,الوتر,Sahih al-Bukhari
15,Invoking Allah for Rain (Istisqaa) - الاستسقاء,Invoking Allah for Rain (Istisqaa),الاستسقاء,Sahih al-Bukhari
16,Eclipses - الكسوف,Eclipses,الكسوف,Sahih al-Bukhari
17,Prostration During Recital of Quran - سجود القرآن,Prostration During Recital of Quran,سجود القرآن,Sahih al-Bukhari
18,Shortening the Prayers (At-Taqseer) - التقصير,Shortening the Prayers (At-Taqseer),التقصير,Sahih al-Bukhari
19,Prayer at Night (Tahajjud) - التهجد,Prayer at Night (Tahajjud),التهجد,Sahih al-Bukhari
20,Virtues of Prayer at Masjid Makkah and Madinah - فضل الصلاة فى مسجد مكة والمدينة,Virtues of Prayer at Masjid Makkah and Madinah,فضل الصلاة فى مسجد مكة والمدينة,Sahih al-Bukhari
21,Actions while Praying - العمل فى الصلاة,Actions while Praying,العمل فى الصلاة,Sahih al-Bukhari
22,Forgetfulness in Prayer - السهو,Forgetfulness in Prayer,السهو,Sahih al-Bukhari
23,Funerals (Al-Janaaiz) - الجنائز,Funerals (Al-Janaaiz),الجنائز,Sahih al-Bukhari
24,Obligary Charity Tax (Zakat) - الزكاة,Obligary Charity Tax (Zakat),الزكاة,Sahih al-Bukhari
25,Hajj (Pilgrimage) - الحج,Hajj (Pilgrimage),الحج,Sahih al-Bukhari
26,Umrah (Minor pilgrimage) - العمرة,Umrah (Minor pilgrimage),العمرة,Sahih al-Bukhari
27,Pilgrims Prevented from Completing the Pilgrimage - المحصر,Pilgrims Prevented from Completing the Pilgrimage,المحصر,Sahih al-Bukhari
28,Penalty of Hunting while on Pilgrimage - جزاء الصيد,Penalty of Hunting while on Pilgrimage,جزاء الصيد,Sahih al-Bukhari
29,Virtues of Madinah - فضائل المدينة,Virtues of Madinah,فضائل المدينة,Sahih al-Bukhari
