number,chapter_title,title_eng,title,book_id
1,Purification and its Sunnah - الطهارة وسننها,Purification and its Sunnah,الطهارة وسننها,Sunan Ibn Majah
2,The Prayer - الصلاة,The Prayer,الصلاة,Sunan Ibn Majah
3,The Adhan and the Sunnah Regarding It - الأذان والسنة فيها,The Adhan and the Sunnah Regarding It,الأذان والسنة فيها,Sunan Ibn Majah
4,The Mosques And The Congregations - المساجد والجماعات,The Mosques And The Congregations,المساجد والجماعات,Sunan Ibn Majah
5,Establishing the Prayer and the Sunnah Regarding Them - إقامة الصلاة والسنة فيها,Establishing the Prayer and the Sunnah Regarding Them,إقامة الصلاة والسنة فيها,Sunan Ibn Majah
6,Regarding Funerals - الجنائز,Regarding Funerals,الجنائز,Sunan Ibn Majah
7,Fasting - الصيام,Fasting,الصيام,Sunan Ibn Majah
8,Regarding Zakat - الزكاة,Regarding Zakat,الزكاة,Sunan Ibn Majah
9,Marriage - النكاح,Marriage,النكاح,Sunan Ibn Majah
10,Divorce - الطلاق,Divorce,الطلاق,Sunan Ibn Majah
11,Expiation - الكفارات,Expiation,الكفارات,Sunan Ibn Majah
12,Business Transactions - التجارات,Business Transactions,التجارات,Sunan Ibn Majah
13,Rulings - الأحكام,Rulings,الأحكام,Sunan Ibn Majah
14,Gifts - الهبات,Gifts,الهبات,Sunan Ibn Majah
15,Charity - الصدقات,Charity,الصدقات,Sunan Ibn Majah
16,Pawning - الرهون,Pawning,الرهون,Sunan Ibn Majah
17,Pre-emption - الشفعة,Pre-emption,الشفعة,Sunan Ibn Majah
18,Lost Property - اللقطة,Lost Property,اللقطة,Sunan Ibn Majah
19,Manumission (of Slaves) - العتق,Manumission (of Slaves),العتق,Sunan Ibn Majah
20,Legal Punishments - الحدود,Legal Punishments,الحدود,Sunan Ibn Majah
21,Blood Money - الديات,Blood Money,الديات,Sunan Ibn Majah
22,Wills - الوصايا,Wills,الوصايا,Sunan Ibn Majah
23,Shares of Inheritance - الفرائض,Shares of Inheritance,الفرائض,Sunan Ibn Majah
24,Jihad - الجهاد,Jihad,الجهاد,Sunan Ibn Majah
25,Hajj Rituals - المناسك,Hajj Rituals,المناسك,Sunan Ibn Majah
26,Sacrifices - الأضاحي,Sacrifices,الأضاحي,Sunan Ibn Majah
27,Slaughtering - الذبائح,Slaughtering,الذبائح,Sunan Ibn Majah
28,Hunting - الصيد,Hunting,الصيد,Sunan Ibn Majah
29,Food - الأطعمة,Food,الأطعمة,Sunan Ibn Majah
30,Drinks - الأشربة,Drinks,الأشربة,Sunan Ibn Majah
31,Medicine - الطب,Medicine,الطب,Sunan Ibn Majah
32,Dress - اللباس,Dress,اللباس,Sunan Ibn Majah
33,Etiquette - الأدب,Etiquette,الأدب,Sunan Ibn Majah
34,Supplication - الدعاء,Supplication,الدعاء,Sunan Ibn Majah
35,Interpretation of Dreams - تعبير الرؤيا,Interpretation of Dreams,تعبير الرؤيا,Sunan Ibn Majah
36,Tribulations - الفتن,Tribulations,الفتن,Sunan Ibn Majah
37,Zuhd - الزهد,Zuhd,الزهد,Sunan Ibn Majah
