number,chapter_title,title_eng,title,book_id
1,Faith - الإيمان,Faith,الإيمان,Sahih Muslim
2,Purification - الطهارة,Purification,الطهارة,Sahih Muslim
3,Menstruation - الحيض,Menstruation,الحيض,Sahih Muslim
4,Prayers - الصلاة,Prayers,الصلاة,Sahih Muslim
5,Mosques and Places of Prayer - الْمَسَاجِدِ وَمَوَاضِعِ الصَّلاَةِ,Mosques and Places of Prayer,الْمَسَاجِدِ وَمَوَاضِعِ الصَّلاَةِ,Sahih Muslim
6,Travellers Prayer - صلاة المسافرين وقصرها,Travellers Prayer,صلاة المسافرين وقصرها,Sahih Muslim
7,Friday Prayer - الجمعة,Friday Prayer,الجمعة,Sahih Muslim
8,Eids Prayer - صلاة العيدين,Eids Prayer,صلاة العيدين,Sahih Muslim
9,Rain Prayer - صلاة الاستسقاء‏,Rain Prayer,صلاة الاستسقاء‏,Sahih Muslim
10,Eclipses Prayer - الكسوف,Eclipses Prayer,الكسوف,Sahih Muslim
11,Funerals Prayer - الجنائز,Funerals Prayer,الجنائز,Sahih Muslim
12,Zakat - الزكاة,Zakat,الزكاة,Sahih Muslim
13,Fasting - الصيام,Fasting,الصيام,Sahih Muslim
14,Itikaf - الاعتكاف,Itikaf,الاعتكاف,Sahih Muslim
15,Pilgrimage - الحج,Pilgrimage,الحج,Sahih Muslim
16,Marriage - النكاح,Marriage,النكاح,Sahih Muslim
17,Suckling - الرضاع,Suckling,الرضاع,Sahih Muslim
18,Divorce - الطلاق,Divorce,الطلاق,Sahih Muslim
19,Invoking Curses - اللعان,Invoking Curses,اللعان,Sahih Muslim
20,Emancipating Slaves - العتق,Emancipating Slaves,العتق,Sahih Muslim
21,Transactions - البيوع,Transactions,البيوع,Sahih Muslim
22,Musaqah - المساقاة,Musaqah,المساقاة,Sahih Muslim
23,the Rules of Inheritance - الفرائض,the Rules of Inheritance,الفرائض,Sahih Muslim
24,Gifts - الهبات,Gifts,الهبات,Sahih Muslim
25,Wills - الوصية,Wills,الوصية,Sahih Muslim
26,Vows - النذر,Vows,النذر,Sahih Muslim
27,Oaths - الأيمان,Oaths,الأيمان,Sahih Muslim
28,"Oaths, Muharibin, Qasas (Retaliation), and Diyat (Blood Money) - القسامة والمحاربين والقصاص والديات","Oaths, Muharibin, Qasas (Retaliation), and Diyat (Blood Money)",القسامة والمحاربين والقصاص والديات,Sahih Muslim
29,Legal Punishments - الحدود,Legal Punishments,الحدود,Sahih Muslim
30,Judicial Decisions - الأقضية,Judicial Decisions,الأقضية,Sahih Muslim
31,Lost Property - اللقطة,Lost Property,اللقطة,Sahih Muslim
32,Jihad and Expeditions - الجهاد والسير,Jihad and Expeditions,الجهاد والسير,Sahih Muslim
33,The Book on Government - الإمارة,The Book on Government,الإمارة,Sahih Muslim
34,"Hunting, Slaughter, and what may be Eaten - الصيد والذبائح وما يؤكل من الحيوان","Hunting, Slaughter, and what may be Eaten",الصيد والذبائح وما يؤكل من الحيوان,Sahih Muslim
35,Sacrifices - الأضاحى,Sacrifices,الأضاحى,Sahih Muslim
36,Drinks - الأشربة,Drinks,الأشربة,Sahih Muslim
37,Clothes and Adornment - اللباس والزينة,Clothes and Adornment,اللباس والزينة,Sahih Muslim
38,Manners and Etiquette - الآداب,Manners and Etiquette,الآداب,Sahih Muslim
39,Greetings - السلام,Greetings,السلام,Sahih Muslim
40,The Book Concerning the Use of Correct Words - الألفاظ من الأدب وغيرها,The Book Concerning the Use of Correct Words,الألفاظ من الأدب وغيرها,Sahih Muslim
41,Poetry - الشعر,Poetry,الشعر,Sahih Muslim
42,Dreams - الرؤيا,Dreams,الرؤيا,Sahih Muslim
43,Virtues - الفضائل,Virtues,الفضائل,Sahih Muslim
44,the Merits of the Companions - فضائل الصحابة رضى الله تعالى عنهم,the Merits of the Companions,فضائل الصحابة رضى الله تعالى عنهم,Sahih Muslim
45,"Virtue, Enjoining Good Manners, and Joining of the Ties of Kinship - البر والصلة والآداب","Virtue, Enjoining Good Manners, and Joining of the Ties of Kinship",البر والصلة والآداب,Sahih Muslim
46,Destiny - القدر,Destiny,القدر,Sahih Muslim
47,Knowledge - العلم,Knowledge,العلم,Sahih Muslim
48,"The Book Pertaining  the Remembrance of Allah, Supplication, Repentance and Seeking Forgiveness - الذكر والدعاء والتوبة والاستغفار","The Book Pertaining  the Remembrance of Allah, Supplication, Repentance and Seeking Forgiveness",الذكر والدعاء والتوبة والاستغفار,Sahih Muslim
49,Heart-Melting Traditions - الرقاق,Heart-Melting Traditions,الرقاق,Sahih Muslim
50,Repentance - التوبة,Repentance,التوبة,Sahih Muslim
51,Characteristics of The Hypocrites And Rulings Concerning Them - صفات المنافقين وأحكامهم,Characteristics of The Hypocrites And Rulings Concerning Them,صفات المنافقين وأحكامهم,Sahih Muslim
52,"Characteristics of the Day of Judgment, Paradise, and Hell - صفة القيامة والجنة والنار","Characteristics of the Day of Judgment, Paradise, and Hell",صفة القيامة والجنة والنار,Sahih Muslim
53,"Paradise, its Description, its Bounties and its Inhabitants - الجنة وصفة نعيمها وأهلها","Paradise, its Description, its Bounties and its Inhabitants",الجنة وصفة نعيمها وأهلها,Sahih Muslim
54,Tribulations and Portents of the Last Hour - الفتن وأشراط الساعة,Tribulations and Portents of the Last Hour,الفتن وأشراط الساعة,Sahih Muslim
55,Zuhd and Softening of Hearts - الزهد والرقائق,Zuhd and Softening of Hearts,الزهد والرقائق,Sahih Muslim
56,Commentary on the Quran - التفسير,Commentary on the Quran,التفسير,Sahih Muslim
